Date,Open,High,Low,Close,Adj Close,Volume,Day
2014-02-28,43.759998,44.32,43.450001,43.709999,39.382549,1032500,0
2014-03-03,43.369999,44.790001,43.130001,44.18,39.806015,825200,1
2014-03-04,44.790001,45.650002,44.790001,45.599998,41.085438,618300,2
2014-03-05,45.52,45.52,44.860001,45.139999,40.670963,461100,3
2014-03-06,45.360001,45.799999,45.130001,45.740002,41.211567,438700,4
2014-03-07,45.93,46.02,45.41,45.75,41.220577,535100,5
2014-03-10,45.66,45.869999,45.23,45.740002,41.211567,416000,6
2014-03-11,45.75,46.27,45.610001,45.990002,41.436832,626900,7
2014-03-12,45.790001,46.279999,45.75,46.27,41.689098,481500,8
2014-03-13,46.299999,46.400002,45.23,45.27,40.78809,436600,9
2014-03-14,45.200001,45.59,44.759998,45.209999,40.734035,430400,10
2014-03-17,45.529999,45.970001,45.490002,45.619999,41.103458,340700,11
2014-03-18,45.98,45.98,44.950001,45.630001,41.112461,757200,12
2014-03-19,45.52,45.799999,44.970001,45.259998,40.779079,477900,13
2014-03-20,45.16,45.779999,44.98,45.48,40.97731,482200,14
2014-03-21,45.580002,45.689999,44.880001,45.32,40.833145,1764800,15
2014-03-24,45.240002,45.470001,44.360001,44.439999,40.040272,732200,16
2014-03-25,43.169998,43.700001,42.669998,42.720001,38.490555,942300,17
2014-03-26,42.889999,43.040001,41.720001,41.77,37.634628,803200,18
2014-03-27,41.720001,42.169998,41.220001,41.869999,37.724701,871400,19
2014-03-28,41.900002,42.73,41.790001,42.110001,37.94096,566800,20
2014-03-31,42.419998,43.080002,42.259998,43.02,38.760853,793800,21
2014-04-01,43.029999,43.82,42.830002,43.810001,39.472649,828800,22
2014-04-02,43.950001,44.02,43.310001,43.799999,39.463642,515600,23
2014-04-03,43.860001,43.959999,43.330002,43.759998,39.427593,831400,24
2014-04-04,43.98,44.099998,42.799999,43.07,38.805897,473500,25
2014-04-07,42.93,43.189999,42.189999,42.279999,38.094124,696000,26
2014-04-08,42.279999,42.849998,42.009998,42.639999,38.418488,545900,27
2014-04-09,42.77,43.18,42.490002,43.099998,38.832935,520600,28
2014-04-10,43.040001,43.150002,41.66,42.07,37.904911,556400,29
2014-04-11,41.700001,42.18,41.43,41.720001,37.589561,565900,30
2014-04-14,41.990002,42.310001,41.290001,41.549999,37.436386,585800,31
2014-04-15,41.75,41.830002,40.400002,41.279999,37.193123,709900,32
2014-04-16,41.709999,42.16,41.369999,42.119999,37.949966,976200,33
2014-04-17,42.16,42.509998,41.880001,42.169998,37.995007,376500,34
2014-04-21,42.09,42.509998,41.799999,42.389999,38.193241,467500,35
2014-04-22,42.389999,42.970001,42.25,42.560001,38.346405,507900,36
2014-04-23,42.540001,42.720001,42.18,42.279999,38.094124,1008800,37
2014-04-24,42.59,42.82,42.220001,42.279999,38.094124,492600,38
2014-04-25,42.009998,42.52,41.540001,41.689999,37.562538,578000,39
2014-04-28,41.880001,42.330002,41.439999,41.790001,37.652634,532000,40
2014-04-29,41.970001,42.110001,41.639999,41.709999,37.580555,710000,41
2014-04-30,41.290001,41.650002,40.259998,40.540001,36.52639,4041100,42
2014-05-01,40.5,41.950001,40.41,40.990002,36.931831,904900,43
2014-05-02,41.080002,42,40.889999,41.240002,37.157093,731100,44
2014-05-05,41,41.32,40.5,41.189999,37.112026,632400,45
2014-05-06,41.23,41.400002,40.939999,41.259998,37.17511,602400,46
2014-05-07,41.330002,42.27,41.09,42.139999,37.967979,865600,47
2014-05-08,42,42.150002,41.380001,41.419998,37.319248,744400,48
2014-05-09,41.349998,41.849998,41.220001,41.540001,37.427387,1443700,49
2014-05-12,41.639999,43.650002,41.599998,43.34,39.049183,1467200,50
2014-05-13,43.34,43.599998,42.689999,42.700001,38.472546,517000,51
2014-05-14,42.57,42.650002,42.169998,42.169998,37.995007,339900,52
2014-05-15,42.099998,42.400002,41.290001,42.130001,37.958965,600900,53
2014-05-16,42.119999,42.419998,41.720001,42.279999,38.094124,322900,54
2014-05-19,42.25,42.75,42.240002,42.560001,38.346405,230400,55
2014-05-20,42.470001,42.48,41.369999,41.380001,37.28323,926600,56
2014-05-21,41.5,42.07,41.330002,42.060001,37.895912,897400,57
2014-05-22,42.060001,42.68,42.009998,42.560001,38.346405,384200,58
2014-05-23,42.639999,43.07,42.509998,42.950001,38.697796,421600,59
2014-05-27,43.139999,43.759998,43.009998,43.41,39.11224,407200,60
2014-05-28,43.389999,43.630001,43.060001,43.32,39.031151,519300,61
2014-05-29,43.450001,43.490002,43.099998,43.48,39.175316,250300,62
2014-05-30,43.470001,43.470001,42.84,43.16,38.886997,436500,63
2014-06-02,43.150002,43.439999,42.759998,43.34,39.049183,335900,64
2014-06-03,43.290001,43.360001,42.82,43.349998,39.058189,488100,65
2014-06-04,43.25,43.48,43.02,43.450001,39.148289,399300,66
2014-06-05,43.57,43.959999,43.23,43.900002,39.553741,288600,67
2014-06-06,44,44.73,43.990002,44.41,40.013245,515800,68
2014-06-09,44.400002,44.93,44.25,44.82,40.382652,197900,69
2014-06-10,44.610001,44.869999,44.52,44.700001,40.274529,173000,70
2014-06-11,44.400002,44.970001,44.209999,44.900002,40.454727,292000,71
2014-06-12,44.799999,45,44.490002,44.759998,40.328587,318200,72
2014-06-13,44.889999,44.98,44.560001,44.84,40.400677,185500,73
2014-06-16,44.799999,44.939999,44.41,44.77,40.337608,181900,74
2014-06-17,44.650002,45.66,44.619999,45.470001,40.968304,501400,75
2014-06-18,45.439999,45.720001,44.860001,45.110001,40.643948,642200,76
2014-06-19,45.209999,45.619999,44.549999,44.919998,40.472752,455800,77
2014-06-20,45.040001,45.330002,44.560001,44.580002,40.166412,1192600,78
2014-06-23,44.639999,44.919998,44.34,44.860001,40.418682,475100,79
2014-06-24,44.869999,45.41,44.41,44.439999,40.040272,575600,80
2014-06-25,44.389999,44.900002,44.369999,44.59,40.17543,345900,81
2014-06-26,44.52,44.709999,44.16,44.459999,40.0583,319600,82
2014-06-27,44.459999,45.259998,44.459999,45.200001,40.725037,758000,83
2014-06-30,45.200001,45.860001,45.16,45.849998,41.310677,644200,84
2014-07-01,46,46.790001,45.740002,46.549999,41.941376,905000,85
2014-07-02,46.400002,46.799999,46.299999,46.52,41.914356,393200,86
2014-07-03,46.810001,47.419998,46.759998,47.34,42.65316,401100,87
2014-07-07,47.169998,47.380001,46.939999,47.080002,42.418911,416000,88
2014-07-08,46.91,47.209999,46.189999,46.470001,41.869301,496400,89
2014-07-09,46.41,46.700001,46,46.32,41.734142,311200,90
2014-07-10,45.68,46.25,45.560001,45.93,41.382763,320600,91
2014-07-11,45.939999,46.189999,45.639999,46.09,41.526909,289900,92
2014-07-14,46.400002,46.689999,46.279999,46.369999,41.779194,363600,93
2014-07-15,46.540001,46.779999,46.07,46.389999,41.797215,368200,94
2014-07-16,46.639999,46.830002,46.080002,46.639999,42.022476,545100,95
2014-07-17,46.48,46.91,46.119999,46.27,41.689098,346700,96
2014-07-18,46.369999,46.990002,46.25,46.93,42.28376,463400,97
2014-07-21,46.610001,47.029999,46.5,46.689999,42.06752,253600,98
2014-07-22,46.950001,47.299999,46.849998,46.939999,42.292763,284100,99
2014-07-23,46.939999,46.939999,46.68,46.82,42.18465,365400,100
2014-07-24,46.790001,47.18,46.400002,47.110001,42.445934,341800,101
2014-07-25,46.860001,47.029999,46.439999,46.799999,42.166622,268900,102
2014-07-28,46.799999,46.950001,46.330002,46.73,42.103561,263800,103
2014-07-29,46.790001,47.290001,46.380001,46.400002,41.806225,559800,104
2014-07-30,46.52,46.939999,46.060001,46.560001,41.95039,660400,105
2014-07-31,47,47.169998,45.209999,45.25,40.770081,803500,106
2014-08-01,44.860001,45.049999,43.860001,44.360001,39.968197,1119300,107
2014-08-04,44.5,44.799999,44.099998,44.549999,40.139385,630200,108
2014-08-05,44.360001,44.459999,43.959999,43.990002,39.634815,436300,109
2014-08-06,43.82,44.299999,43.759998,44.150002,39.778973,268100,110
2014-08-07,44.41,44.41,43.759998,43.900002,39.553741,203700,111
2014-08-08,43.93,44.369999,43.810001,44,39.643822,431800,112
2014-08-11,44.23,44.610001,44.049999,44.57,40.157398,496000,113
2014-08-12,44.209999,44.84,44.209999,44.599998,40.184425,328700,114
2014-08-13,44.759998,45.029999,44.59,44.919998,40.472752,193900,115
2014-08-14,45.049999,45.299999,44.849998,45.119999,40.652954,232100,116
2014-08-15,45.389999,45.650002,44.619999,45.169998,40.698002,367200,117
2014-08-18,45.650002,45.849998,45.5,45.68,41.15752,332300,118
2014-08-19,45.700001,45.880001,45.41,45.630001,41.112461,375200,119
